Aktivitetstype,Dato,Favoritt,Tittel,Avstand,Kalorier,Tid,Gjennomsnittlig puls,Makspuls,Aerob treningseffekt,Gjennomsnittlig frekvens for løping,Maksimal frekvens for løping,Gjennomsnittlig tempo,Beste tempo,Total stigning,Totalt fall,Gjennomsnittlig skrittlengde,Gjennomsnittlig vertikalt forholdstall,Gjennomsnittlig vertikal oscillasjon,Gjennomsnittlig tid med bakkekontakt,Gjennomsnittlig frekvens for løping,Maksimal frekvens for løping,Training Stress Score®,Gjennomsnittlig kraft,Maksimal kraft,Vanskelighetsgrad,Flyt,Totalt antall tak,Gjennomsnittlig Swolf,Gjennomsnittlig tempo for tak,Totalt antall repetisjoner,Totalt antall sett,Dykketid,Minimumstemperatur,Overflateintervall,Dekompresjon,Beste rundetid,Antall runder,Makstemperatur,Tid i bevegelse,Medgått tid,Minste høyde,Maksimal høyde
Styrketrening,2022-06-06 13:04:47,false,"Styrke","0.00","279","01:04:11","92","138","0.4","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","2","1","0:00","27.0","0:00","Nei","01:04:10.84","1","0.0","01:04:11","01:04:11","--","--"
Sykling,2022-06-04 09:51:25,false,"Oslo Sykling","34.44","1,195","01:45:42","146","187","4.3","0","0","19.5","59.3","709","695","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","17.0","0:00","Nei","07:08.78.9","7","0.0","01:44:44","02:59:16","8","545"
Styrketrening,2022-06-03 16:31:20,false,"Styrke","0.00","86","00:20:08","89","111","0.1","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","8","1","0:00","26.0","0:00","Nei","20:08.30.7","1","0.0","00:20:08","00:20:08","--","--"
Styrketrening,2022-06-01 17:21:47,false,"Styrke","0.00","221","01:13:40","79","120","0.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","13","1","0:00","24.0","0:00","Nei","01:13:39.58.1","1","0.0","01:13:40","01:13:40","--","--"
Styrketrening,2022-05-31 20:59:09,false,"Styrke","0.00","470","01:32:56","102","127","0.5","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","4","1","0:00","25.0","0:00","Nei","01:32:55.64.3","1","0.0","01:32:56","01:32:56","--","--"
Styrketrening,2022-05-29 18:24:35,false,"Styrke","0.00","227","00:50:13","93","123","0.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","12","1","0:00","25.0","0:00","Nei","50:13.16.2","1","0.0","00:50:13","00:50:13","--","--"
Styrketrening,2022-05-26 16:00:44,false,"Styrke","0.00","313","01:05:51","96","125","0.3","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","4","1","0:00","26.0","0:00","Nei","01:05:51.05.5","1","0.0","01:05:51","01:05:51","--","--"
Styrketrening,2022-05-24 18:17:49,false,"Styrke","0.00","551","01:43:44","104","137","0.6","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","5","1","0:00","25.0","0:00","Nei","01:43:44.37.2","1","0.0","01:43:44","01:43:44","--","--"
Sykling,2022-05-24 17:36:12,false,"Oslo Sykling","2.66","77","00:10:26","111","142","0.4","0","0","15.3","26.1","39","35","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Nei","10:25.65.5","1","0.0","00:10:12","00:11:13","60","80"
Sykling,2022-05-24 09:53:45,false,"Oslo Sykling","4.46","145","00:15:00","126","146","1.4","0","0","17.8","27.9","44","36","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Nei","14:59.71.6","1","0.0","00:14:34","00:20:53","15","46"
Styrketrening,2022-05-23 16:59:30,false,"Styrke","0.00","217","00:51:10","91","111","0.2","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","7","1","0:00","24.0","0:00","Nei","51:09.75.6","1","0.0","00:51:10","00:51:10","--","--"
Sykling,2022-05-22 11:46:52,false,"Oslo Sykling","69.07","1,543","02:51:43","134","179","2.9","0","0","24.1","54.7","510","493","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","16.0","0:00","Nei","10:05.96.6","14","0.0","02:50:05","03:54:04","-2","39"
Løping,2022-05-21 19:10:39,false,"Oslo Løping","7.33","562","00:42:16","152","174","3.1","167","184","5:46","4:43","52","54","1.04","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","20.0","0:00","Nei","01:57.25","8","0.0","00:42:03","00:45:22","4","52"
Styrketrening,2022-05-21 17:27:21,false,"Styrke","0.00","378","01:10:59","102","134","0.4","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","6","1","0:00","23.0","0:00","Nei","01:10:59.35.6","1","0.0","01:10:59","01:10:59","--","--"
Sykling,2022-05-20 14:13:26,false,"Oslo Sykling","35.78","1,004","01:30:34","148","184","3.3","0","0","23.7","61.9","395","390","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","18.0","0:00","Nei","02:12.61","8","0.0","01:29:39","02:23:30","7","228"
Sykling,2022-05-19 19:42:05,false,"Oslo Sykling","3.01","108","00:10:29","128","145","1.1","0","0","17.2","30.0","48","13","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","--","0","0","0","--","0:00","23.0","0:00","Nei","10:29.48.1","1","0.0","00:10:25","00:10:54","40","75"
